dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,random,1,109,55,1503,230.93,0,0,0,0,186,0.38425,0.69315,0.66611,-0.040593,0.5,0.028365,5,14.6,15,0.49321,72,0.3396,0.69315,0.64077,-0.081744,,0.026494,0,,,,,,,,,,,,0,0,,,999,273,231,5,0,0,10.8,32,3,"{""2"": [1, 6], ""4"": [1, 3], ""8"": [2, 40], ""16"": [0, 19], ""32"": [1, 56], ""64"": [0, 23]}","{""remove"": 0.46, ""swap"": 0.27, ""add"": 0.27}","[5, 0, 0, 0, 0, 0, 0]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,random,1,121,108,1506,257.48,0,0,0,0,198,0.21219,0.69315,0.51684,-0.34112,0.5,0.12386,5,16,20,0.49565,43,0.10843,0.69315,0.34322,-1.0195,,0.17541,0,,,,,,,,,,,,0,0,,,1205,161,140,5,0,0,2.6,4,3,"{""1"": [1, 8], ""2"": [3, 18], ""4"": [3, 23], ""8"": [2, 64], ""16"": [0, 46], ""32"": [1, 92], ""64"": [0, 71]}","{""remove"": 0.628, ""swap"": 0.186, ""add"": 0.186}","[5, 0, 0, 0, 0, 0, 5]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,random,1,163,137,1501,231.18,0,0,0,0,218,0.26682,0.69315,0.58007,-0.19494,0.5,0.10195,9,19.556,19,0.49665,9,0.06843,0.69315,0.24956,-1.7775,,0.18626,0,,,,,,,,,,,,0,0,,,1438,35,28,9,0,0,2.8889,4,1,"{""1"": [1, 8], ""2"": [8, 37], ""4"": [7, 84], ""8"": [2, 86], ""16"": [0, 58], ""32"": [1, 128], ""64"": [0, 134]}","{""remove"": 0.772, ""swap"": 0.114, ""add"": 0.114}","[5, 0, 0, 0, 0, 0, 14]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,random,1,59,5,1502,242.44,0,0,0,0,208,0.49633,0.69315,0.69312,-3.881e-05,0.5,0.032304,23,6.9565,4,0.47721,55,0.42504,0.69315,0.68187,-0.016543,,0.0057446,0,,,,,,,,,,,,0,0,,,1117,210,175,23,0,0,2.3478,4,6,"{""1"": [3, 18], ""2"": [24, 93], ""4"": [12, 103], ""8"": [2, 98], ""16"": [0, 82], ""32"": [1, 185], ""64"": [0, 134]}","{""remove"": 0.798, ""swap"": 0.101, ""add"": 0.101}","[28, 0, 0, 0, 0, 0, 14]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,random,1,71,25,1507,219.38,0,0,0,0,221,0.45491,0.69315,0.68908,-0.0059079,0.5,0.031902,17,6.3529,5,0.48895,16,0.31168,0.69315,0.62043,-0.1172,,0.037513,0,,,,,,,,,,,,0,0,,,1395,70,42,17,0,0,2.7059,4,2,"{""1"": [3, 18], ""2"": [35, 182], ""4"": [18, 193], ""8"": [2, 98], ""16"": [0, 82], ""32"": [1, 206], ""64"": [0, 145]}","{""remove"": 0.799, ""swap"": 0.101, ""add"": 0.101}","[30, 0, 4, 0, 0, 0, 25]"
