dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,143,1399,learned,143,5,5,980,12.68,166,2039,1231,2000,80,0.21725,0.66639,0.52341,-0.27318,,0.069692,0,,,,120,0.25919,0.69439,0.57221,-0.21352,,0.063479,0,,,,1.0245,1.9837,,,1.0947,0.55451,0.035248,0.082508,0.11884,0.29772,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,144,1449,learned,144,20,1,83,3.77,167,2062,1231,2000,25,0.84593,0.64994,0.42971,-0.51253,0.20175,0.17405,19,1.3158,1,0.0053972,0,,,,,,,0,,,,0.98889,,1.8258,,1.639,,0.040669,,0.037611,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,145,1458,learned,145,14,1,30,2.03,167,2076,1231,2000,13,1,0.63817,1e-06,,,0.22259,13,1,1,0.0232,0,,,,,,,0,,,,1.0064,,,,1.0658,,0.03882,,0.027567,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,146,1461,learned,146,8,1,14,1.11,167,2085,1231,2000,8,0.8768,0.60901,0.37326,-0.6316,1,0.20686,7,1.1429,1,0.093112,0,,,,,,,0,,,,1.0139,,1.018,,1.0624,,0.039482,,0.13606,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,147,1471,learned,147,21,4,528,10.28,169,2109,1251,2000,66,0.36625,0.55585,0.65693,0.15386,0.93637,0.098037,17,1.8824,1,0.21248,48,0.07975,0.78831,0.27816,-1.834,,0.22492,0,,,,0.98181,2.002,2.4289,,1.9394,0.6419,0.03429,0.08666,0.27873,0.2852,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,148,1473,learned,148,14,1,34,2.17,169,2126,1251,2000,16,0.86328,0.61311,0.39897,-0.53674,0.74359,0.17667,13,1.2308,1,0.067413,0,,,,,,,0,,,,0.998,,1.065,,2.3638,,0.036283,,0.082549,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,149,1474,learned,149,15,4,591,6.93,169,2135,1251,2000,87,0.16755,0.66474,0.45197,-0.47074,0.73016,0.13614,3,25.667,2,0.20556,0,,,,,,,0,,,,1.0134,,3.1966,,1.8273,,0.036184,,0.09831,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,150,1477,learned,150,16,2,28,2.74,169,2150,1251,2000,16,0.88444,0.60448,0.35799,-0.68855,1,0.19772,14,1,1,0.14759,0,,,,,,,0,,,,1.0027,,,,1.1829,,0.040192,,0.22812,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,151,1481,learned,151,11,1,57,2.1,169,2164,1251,2000,13,0.8649,0.66054,0.39597,-0.66816,0.53333,0.17819,10,1.3,1,0.013433,0,,,,,,,0,,,,1.0097,,1.0892,,2.2022,,0.038294,,0.056358,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,152,1498,learned,152,18,1,1364,17.62,170,2179,1259,2000,202,0.16816,0.71439,0.45295,-0.57719,0.79793,0.1688,9,8.5556,1,0.16198,69,0.10046,0.7779,0.3261,-1.3854,0.75,0.21921,1,69,69,,0.99244,2.0843,,,0.93945,0.71878,0.038839,0.090264,0.17042,0.29031,,
