dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,24,162,learned,24,10,1,716,38.79,678,167,642,707,104,0.40519,0.94154,0.67506,-0.39475,0.19608,0.12821,2,30,57,0.2,57,0.37723,0.72043,0.66269,-0.087128,1,0.031601,1,57,57,,1.0059,,1.1037,,1.3243,,0.052692,,0.1552,0.1132,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,25,163,learned,25,11,3,1140,41.45,682,178,643,768,165,0.089691,1.0795,0.30182,-2.5765,0.33436,0.36538,3,20.333,7,0.22917,52,0.096864,0.44038,0.31814,-0.38425,0.98039,0.063234,1,52,52,,0.86985,,0.56161,,1.2034,,0.052179,,0.32119,0.12068,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,26,169,learned,26,22,1,2,0.74,686,181,643,771,2,1,0.30602,1e-06,,,0.069616,2,1,1,-0.13312,0,,,,,,,0,,,,0.84213,,,,0.70733,,0.041102,,0.14595,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,27,183,learned,27,44,1,9,2.14,686,185,643,775,3,1,0.3364,1e-06,,,0.081831,3,1,1,-0.30985,0,,,,,,,0,,,,0.94752,,,,0.6768,,0.053274,,0.15845,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,28,184,learned,28,12,12,9548,243.73,914,201,871,926,787,0.0088686,0.81439,0.050735,-15.052,,0.29743,0,,,,1187,0.012339,0.36529,0.066494,-4.4936,,0.094658,0,,,,0.84461,0.28251,,,0.6695,0.28998,0.053419,0.037423,0.2802,0.066621,0,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,29,189,learned,29,8,1,1,0.19,914,203,871,928,1,1,0.36145,1e-06,,,0.09201,1,1,1,-0.3125,0,,,,,,,0,,,,0.97603,,,,1.1052,,0.040265,,0.24324,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,30,201,learned,30,13,3,297,3.25,914,210,871,945,45,0.12341,0.78437,0.37367,-1.0991,0.79365,0.25219,3,14,10,0.041026,0,,,,,,,0,,,,0.95311,,1.9876,,7.9835,,0.040358,,0.27711,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,31,202,learned,31,31,2,75,1.48,914,218,871,955,15,0.49292,0.67044,0.69305,0.032624,0.72,0.12384,5,3,1,-0.14562,0,,,,,,,0,,,,1.023,,1.4168,,2.1139,,0.054854,,0.30479,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,32,205,learned,32,11,1,2,0.3,914,221,871,958,2,1,0.30117,1e-06,,,0.067865,2,1,1,-0.13636,0,,,,,,,0,,,,1.0021,,,,1.3615,,0.053165,,0.239,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,33,224,learned,33,25,5,8762,140.86,1152,243,1106,1128,821,0.018996,0.68514,0.094105,-6.2807,0.7451,0.23434,4,25,26,0.23199,1026,0.025699,0.35577,0.11946,-1.9782,0.68003,0.082086,3,17,8,0.49994,0.85638,0.28308,1.2612,2.1407,1.7795,0.4382,0.043589,0.036807,0.30932,0.10537,,0
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,34,247,learned,34,9,2,66,1.12,1156,249,1106,1133,12,0.3341,0.73716,0.63704,-0.15716,0.74074,0.19831,3,4,3,0.18519,0,,,,,,,0,,,,1.0514,,0.68046,,2.4872,,0.034075,,0.28249,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,35,254,learned,35,6,1,2,0.1,1156,251,1106,1135,1,1,0.55287,1e-06,,,0.18037,1,1,1,-0.083333,0,,,,,,,0,,,,1.138,,,,2.7328,,0.041462,,0.17645,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,36,256,learned,36,17,1,4,0.34,1156,254,1106,1138,2,1,0.38119,1e-06,,,0.10124,2,1,1,-0.2549,0,,,,,,,0,,,,1.1385,,,,1.4958,,0.052951,,0.14227,,,
