,scope,dataset,oracle,explainer,Runtime,Runtime-std,GraphEditDistance,GraphEditDistance-std,Correctness,Correctness-std,OracleCalls,OracleCalls-std,OracleAccuracy,OracleAccuracy-std,Sparsity,Sparsity-std,Fidelity,Fidelity-std,Instability,Instability-std
0,meta,TreeCyclesRand-59b4a4ad5355de4e6189d393902be53c,TreeCyclesOracle-dad4bc4709835728d485620b5506eeaf,GenerateMinimize(RSGG-LocalSearchMultiSolutions),2.376555578678082,0.9519961675532292,1.0793240093240093,0.0706015200461462,0.8576923076923076,0.11728492142732728,1646.8769230769235,506.0659364157291,1.0,0.0,0.025829376833629136,0.0016367478491055637,0.8576923076923076,0.11728492142732728,1.008010966215597,0.009554248642069666
1,meta,TreeCyclesRand-59b4a4ad5355de4e6189d393902be53c,TreeCyclesOracle-dad4bc4709835728d485620b5506eeaf,GenerateMinimize(OFS-LocalSearch),0.5892646660407383,0.24028905254042232,1.1682692307692308,0.11147904031691463,0.9711538461538461,0.0372402244827636,1244.9198717948718,473.67770698190327,1.0,0.0,0.027873831027622666,0.00259043942605542,0.9711538461538461,0.0372402244827636,1.0135209723289282,0.005216557686136121
2,meta,TreeCyclesRand-59b4a4ad5355de4e6189d393902be53c,TreeCyclesOracle-dad4bc4709835728d485620b5506eeaf,GenerateMinimize(OFS-Random),9.125592216772912,0.5053128778672292,1.1862470862470862,0.10253303990307482,0.9685897435897436,0.03850958537403996,3956.6743589743587,67.3525682390005,1.0,0.0,0.028292280009147484,0.002386328934221013,0.9685897435897436,0.03850958537403996,1.0120686408854522,0.008066984730737192
3,meta,TreeCyclesRand-59b4a4ad5355de4e6189d393902be53c,TreeCyclesOracle-dad4bc4709835728d485620b5506eeaf,GenerateMinimize(RSGG-LocalSearch),2.9867721953962607,0.9971716287692884,1.0648709315375984,0.06306421175184218,0.7998575498575498,0.0740055567399461,992.735754985755,253.8564062323163,1.0,0.0,0.025506537936256814,0.0014629994670734765,0.7998575498575498,0.0740055567399461,1.0113219657970807,0.005899973792526323
4,meta,TreeCyclesRand-59b4a4ad5355de4e6189d393902be53c,TreeCyclesOracle-dad4bc4709835728d485620b5506eeaf,GenerateMinimize(DCESExplainer-LocalSearchMultiStart),0.9812423717602025,0.42486824546474306,1.1745014245014245,0.10237597497909375,1.0,0.0,1474.150997150997,528.4496712768444,1.0,0.0,0.028016120119829076,0.002383548229720377,1.0,0.0,1.0130562839072619,0.0109251673880874
5,meta,TreeCyclesRand-59b4a4ad5355de4e6189d393902be53c,TreeCyclesOracle-dad4bc4709835728d485620b5506eeaf,GenerateMinimize(DCESExplainer-LocalSearchMultiSolutions),1.7556222381754816,0.7141740126307036,1.1745014245014245,0.10237597497909375,1.0,0.0,2590.7136752136753,854.9085302395448,1.0,0.0,0.028016120119829076,0.0023835482297203765,1.0,0.0,1.0148237221880732,0.009500729189329545
6,meta,TreeCyclesRand-59b4a4ad5355de4e6189d393902be53c,TreeCyclesOracle-dad4bc4709835728d485620b5506eeaf,GenerateMinimize(DCESExplainer-LocalSearch),1.1340999824029427,0.5366137506729937,1.1745014245014245,0.10237597497909375,1.0,0.0,1504.1217948717947,522.0612514720403,1.0,0.0,0.028016120119829076,0.002383548229720377,1.0,0.0,1.013956034348779,0.008657145043049555
7,meta,TreeCyclesRand-59b4a4ad5355de4e6189d393902be53c,TreeCyclesOracle-dad4bc4709835728d485620b5506eeaf,GenerateMinimize(RSGG-Random),7.043879601350876,2.5192078581656268,8.563173400673403,0.5124283646029598,0.809116809116809,0.08095881617312149,1312.4529914529915,219.51375283878642,1.0,0.0,0.20525925335044162,0.012270805720549748,0.809116809116809,0.08095881617312149,0.871104584138762,0.012422626480487049
8,meta,TreeCyclesRand-59b4a4ad5355de4e6189d393902be53c,TreeCyclesOracle-dad4bc4709835728d485620b5506eeaf,GenerateMinimize(DCESExplainer-Random),14.79936961282013,1.8528278796501751,1.183048433048433,0.10966810810771675,1.0,0.0,4096.9629629629635,5.6817760317677735,1.0,0.0,0.028212380273566193,0.0025504629612923676,1.0,0.0,1.0168621388034431,0.005125872786959212
9,meta,TreeCyclesRand-59b4a4ad5355de4e6189d393902be53c,TreeCyclesOracle-dad4bc4709835728d485620b5506eeaf,GenerateMinimize(OFS-LocalSearchMultiSolutions),1.03711121907601,0.3974405815385734,1.1785314685314685,0.10873352343589035,0.9525641025641025,0.071104741660831,2263.6891025641025,916.6891280251967,1.0,0.0,0.028116444623177438,0.002524052733120641,0.9525641025641025,0.071104741660831,1.0177991479229056,0.00860986811060566
