,scope,dataset,oracle,explainer,Runtime,Runtime-std,GraphEditDistance,GraphEditDistance-std,FeatureEditDistance,FeatureEditDistance-std,Correctness,Correctness-std,OracleCalls,OracleCalls-std,OracleAccuracy,OracleAccuracy-std,Sparsity,Sparsity-std
0,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-cdb47ad283f8190a0dece30559f3a9be,GenerateMinimize(OFS-Random),88.41327182105094,84.41749840145908,61.80457178742172,31.60522550243249,151.3115951102174,53.1943783977136,0.4585050505050505,0.03226019104931198,2425.6900202020206,110.31320717015392,0.7167171717171718,0.03098423723187547,0.21442864324390504,0.10580369706234811
1,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-cdb47ad283f8190a0dece30559f3a9be,GenerateMinimize(RSGG-Random),83.22000099656557,32.31046470860804,51.78454648526076,3.835906120341259,944.3967595422275,118.01969485715833,0.9939898989898991,0.004907313557788378,2659.578626262626,139.26596800604653,0.7167171717171716,0.03098423723187547,0.27200968044369683,0.01632676799285779
2,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-cdb47ad283f8190a0dece30559f3a9be,GenerateMinimize(OFS-LocalSearch),72.289602522956,54.56524234728727,19.05640019507512,13.217363140837026,224.22587023715596,58.891959490506345,0.4665151515151515,0.03649276316045963,1487.3659696969698,224.18799280854319,0.7167171717171718,0.030984237231875468,0.05610398473938884,0.03455519247609439
3,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-cdb47ad283f8190a0dece30559f3a9be,GenerateMinimize(DCESExplainer-LocalSearch),122.03200349359079,26.52340496217117,12.677272727272728,3.8048057693065966,130.57534723930593,50.72231821631628,1.0,0.0,5014.486575757575,888.6064762731698,0.7167171717171716,0.03098423723187547,0.05897725502209624,0.012088751591888863
4,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-cdb47ad283f8190a0dece30559f3a9be,GenerateMinimize(DCESExplainer-Random),62.730267630854044,1.245393517473659,30.290656565656565,3.330986301126442,145.03647978146387,21.84904078474212,1.0,0.0,5005.0,0.0,0.7167171717171718,0.030984237231875468,0.14315864233007874,0.012285868508200948
5,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-cdb47ad283f8190a0dece30559f3a9be,GenerateMinimize(OFS-Dummy),1.3215827756144782,0.625682488230801,137.65738249551129,26.10002350362683,2.4937868724441594e-07,1.986318715900329e-08,0.4584848484848485,0.03375572597075453,606.5096262626262,51.835419681722925,0.7167171717171716,0.030984237231875468,0.5563568648741696,0.0817851983542507
6,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-cdb47ad283f8190a0dece30559f3a9be,GenerateMinimize(RSGG-Dummy),4.185830690660862,2.0150051319597226,66.95968202432488,3.9905327094078276,961.0936737726976,93.1205264726336,0.9929898989898991,0.006407926679843617,48.95358585858586,4.716351179959875,0.7167171717171718,0.030984237231875468,0.351523853106397,0.015363162665891605
7,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-cdb47ad283f8190a0dece30559f3a9be,GenerateMinimize(DCESExplainer-Dummy),3.4363119809916527,0.07304346844938088,70.63133333333333,4.762602509832903,284.1940008618444,35.10189810977855,1.0,0.0,1003.0,0.0,0.7167171717171716,0.030984237231875468,0.3342101371985349,0.013731130422223565
8,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-cdb47ad283f8190a0dece30559f3a9be,GenerateMinimize(RSGG-LocalSearch),148.861977113088,10.656063201473597,30.836703199798436,3.248545426512334,878.7861361766777,102.57934807760945,0.991111111111111,0.007370277311900895,5298.283333333334,573.0260417196491,0.7166666666666667,0.03265986323710903,0.1824558496153411,0.020404636099522266
